payment_id,order_id,payment_amount,status,exception_type,settlement_id,settlement_amount,match_method,agent_decision,resolution_status,action_taken,financial_risk,confidence,auto_resolvable,ai_response_valid,human_review_required,guardrail_violations,final_processing_status
PAY0001,ORD0001,799,MATCHED,,SET0001,799.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0002,ORD0002,1999,MATCHED,,SET0002,1999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0003,ORD0003,999,MATCHED,,SET0003,999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0004,ORD0004,799,MATCHED,,SET0004,799.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0005,ORD0005,499,MATCHED,,SET0005,499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0006,ORD0006,1499,MATCHED,,SET0006,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0007,ORD0007,1499,MATCHED,,SET0007,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0008,ORD0008,4999,MATCHED,,SET0008,4999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0009,ORD0009,499,MATCHED,,SET0009,499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0010,ORD0010,2999,MATCHED,,SET0010,2999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0011,ORD0011,999,MATCHED,,SET0011,999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0012,ORD0012,2499,MATCHED,,SET0012,2499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0013,ORD0013,2999,MATCHED,,SET0013,2999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0014,ORD0014,2499,MATCHED,,SET0014,2499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0015,ORD0015,499,MATCHED,,SET0015,499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0016,ORD0016,799,MATCHED,,SET0016,799.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0017,ORD0017,1999,MATCHED,,SET0017,1999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0018,ORD0018,1499,MATCHED,,SET0018,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0019,ORD0019,1499,MATCHED,,SET0019,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0020,ORD0020,1499,MATCHED,,SET0020,1499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0021,ORD0021,1999,MATCHED,,SET0021,1999.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
PAY0022,ORD0022,2499,MATCHED,,SET0022,2499.0,EXACT_REFERENCE,,,,,,,,,,MATCHED_NO_AI_ACTION
