payment_id,settlement_id,exception_type,agent_decision,action_taken,execution_status,execution_message,validation_status,payment_amount,settlement_amount,execution_timestamp
PAY0092,SET0092,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,EXECUTED,Recovered settlement successfully linked to payment,PASSED,799,799,2026-08-31T18:41:33.749563
PAY0093,SET0093,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,EXECUTED,Recovered settlement successfully linked to payment,PASSED,799,799,2026-08-31T18:41:40.193662
PAY0094,SET0094,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,EXECUTED,Recovered settlement successfully linked to payment,PASSED,499,499,2026-08-31T18:41:46.678820
PAY0095,SET0095,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,EXECUTED,Recovered settlement successfully linked to payment,PASSED,2499,2499,2026-08-31T18:41:53.988960
PAY0092,SET0092,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,ALREADY_EXECUTED,Resolution has already been successfully executed,ALREADY_EXECUTED,799,799,2026-08-31T18:47:05.459936
PAY0093,SET0093,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,ALREADY_EXECUTED,Resolution has already been successfully executed,ALREADY_EXECUTED,799,799,2026-08-31T18:47:11.256704
PAY0094,SET0094,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,ALREADY_EXECUTED,Resolution has already been successfully executed,ALREADY_EXECUTED,499,499,2026-08-31T18:47:17.539548
PAY0095,SET0095,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,ALREADY_EXECUTED,Resolution has already been successfully executed,ALREADY_EXECUTED,2499,2499,2026-08-31T18:47:23.734838
PAY0092,SET0092,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,ALREADY_EXECUTED,Resolution has already been successfully executed,ALREADY_EXECUTED,799,799,2026-08-31T18:59:07.298334
PAY0093,SET0093,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,ALREADY_EXECUTED,Resolution has already been successfully executed,ALREADY_EXECUTED,799,799,2026-08-31T18:59:14.332783
PAY0094,SET0094,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,ALREADY_EXECUTED,Resolution has already been successfully executed,ALREADY_EXECUTED,499,499,2026-08-31T18:59:21.532151
PAY0095,SET0095,REFERENCE_MISMATCH,AUTO_RESOLVE,LINK_RECOVERED_SETTLEMENT,ALREADY_EXECUTED,Resolution has already been successfully executed,ALREADY_EXECUTED,2499,2499,2026-08-31T18:59:28.576764
