payment_id,expected_status,exception_type
PAY0001,MATCHED,NONE
PAY0002,MATCHED,NONE
PAY0003,MATCHED,NONE
PAY0004,MATCHED,NONE
PAY0005,MATCHED,NONE
PAY0006,MATCHED,NONE
PAY0007,MATCHED,NONE
PAY0008,MATCHED,NONE
PAY0009,MATCHED,NONE
PAY0010,MATCHED,NONE
PAY0011,MATCHED,NONE
PAY0012,MATCHED,NONE
PAY0013,MATCHED,NONE
PAY0014,MATCHED,NONE
PAY0015,MATCHED,NONE
PAY0016,MATCHED,NONE
PAY0017,MATCHED,NONE
PAY0018,MATCHED,NONE
PAY0019,MATCHED,NONE
PAY0020,MATCHED,NONE
PAY0021,MATCHED,NONE
PAY0022,MATCHED,NONE
PAY0023,MATCHED,NONE
PAY0024,MATCHED,NONE
PAY0025,MATCHED,NONE
PAY0026,MATCHED,NONE
PAY0027,MATCHED,NONE
PAY0028,MATCHED,NONE
PAY0029,MATCHED,NONE
PAY0030,MATCHED,NONE
PAY0031,MATCHED,NONE
PAY0032,MATCHED,NONE
PAY0033,MATCHED,NONE
PAY0034,MATCHED,NONE
PAY0035,MATCHED,NONE
PAY0036,MATCHED,NONE
PAY0037,MATCHED,NONE
PAY0038,MATCHED,NONE
PAY0039,MATCHED,NONE
PAY0040,MATCHED,NONE
PAY0041,MATCHED,NONE
PAY0042,MATCHED,NONE
PAY0043,MATCHED,NONE
PAY0044,MATCHED,NONE
PAY0045,MATCHED,NONE
PAY0046,MATCHED,NONE
PAY0047,MATCHED,NONE
PAY0048,MATCHED,NONE
PAY0049,MATCHED,NONE
PAY0050,MATCHED,NONE
PAY0051,MATCHED,NONE
PAY0052,MATCHED,NONE
PAY0053,MATCHED,NONE
PAY0054,MATCHED,NONE
PAY0055,MATCHED,NONE
PAY0056,MATCHED,NONE
PAY0057,MATCHED,NONE
PAY0058,MATCHED,NONE
PAY0059,MATCHED,NONE
PAY0060,MATCHED,NONE
PAY0061,MATCHED,NONE
PAY0062,MATCHED,NONE
PAY0063,MATCHED,NONE
PAY0064,MATCHED,NONE
PAY0065,MATCHED,NONE
PAY0066,MATCHED,NONE
PAY0067,MATCHED,NONE
PAY0068,MATCHED,NONE
PAY0069,MATCHED,NONE
PAY0070,MATCHED,NONE
PAY0071,EXCEPTION,AMOUNT_MISMATCH
PAY0072,EXCEPTION,AMOUNT_MISMATCH
PAY0073,EXCEPTION,AMOUNT_MISMATCH
PAY0074,EXCEPTION,AMOUNT_MISMATCH
PAY0075,EXCEPTION,AMOUNT_MISMATCH
PAY0076,EXCEPTION,MISSING_SETTLEMENT
PAY0077,EXCEPTION,MISSING_SETTLEMENT
PAY0078,EXCEPTION,MISSING_SETTLEMENT
PAY0079,EXCEPTION,MISSING_SETTLEMENT
PAY0080,EXCEPTION,MISSING_SETTLEMENT
PAY0081,EXCEPTION,MISSING_ORDER
PAY0082,EXCEPTION,MISSING_ORDER
PAY0083,EXCEPTION,MISSING_ORDER
PAY0084,DUPLICATE,DUPLICATE_PAYMENT
PAY0085,DUPLICATE,DUPLICATE_PAYMENT
PAY0086,DUPLICATE,DUPLICATE_PAYMENT
PAY0087,MATCHED,NONE
PAY0088,MATCHED,NONE
PAY0089,MATCHED,NONE
PAY0090,MATCHED,NONE
PAY0091,MATCHED,NONE
PAY0092,FUZZY_MATCH,REFERENCE_MISMATCH
PAY0093,FUZZY_MATCH,REFERENCE_MISMATCH
PAY0094,FUZZY_MATCH,REFERENCE_MISMATCH
PAY0095,FUZZY_MATCH,REFERENCE_MISMATCH
PAY0096,MATCHED,NONE
PAY0097,MATCHED,NONE
PAY0098,MATCHED,NONE
PAY0099,MATCHED,NONE
PAY0100,MATCHED,NONE
DUP_PAY0083,DUPLICATE,DUPLICATE_PAYMENT
DUP_PAY0084,DUPLICATE,DUPLICATE_PAYMENT
DUP_PAY0085,DUPLICATE,DUPLICATE_PAYMENT
