settlement_id,payment_reference,gross_amount,fee,tax,net_amount,settlement_date,settlement_status
SET0001,PAY0001,799,15.98,2.88,780.14,2026-07-31 08:20:16,processed
SET0002,PAY0002,1999,39.98,7.2,1951.82,2026-08-13 00:34:49,processed
SET0003,PAY0003,999,19.98,3.6,975.42,2026-08-07 22:50:03,processed
SET0004,PAY0004,799,15.98,2.88,780.14,2026-08-02 22:11:40,processed
SET0005,PAY0005,499,9.98,1.8,487.22,2026-08-14 14:19:12,processed
SET0006,PAY0006,1499,29.98,5.4,1463.62,2026-07-30 17:22:02,processed
SET0007,PAY0007,1499,29.98,5.4,1463.62,2026-08-09 23:45:17,processed
SET0008,PAY0008,4999,99.98,18.0,4881.02,2026-08-21 21:56:42,processed
SET0009,PAY0009,499,9.98,1.8,487.22,2026-08-22 06:18:09,processed
SET0010,PAY0010,2999,59.98,10.8,2928.22,2026-08-20 18:15:44,processed
SET0011,PAY0011,999,19.98,3.6,975.42,2026-08-22 17:29:17,processed
SET0012,PAY0012,2499,49.98,9.0,2440.02,2026-08-15 08:00:11,processed
SET0013,PAY0013,2999,59.98,10.8,2928.22,2026-08-07 09:23:22,processed
SET0014,PAY0014,2499,49.98,9.0,2440.02,2026-08-18 10:12:01,processed
SET0015,PAY0015,499,9.98,1.8,487.22,2026-08-18 08:58:29,processed
SET0016,PAY0016,799,15.98,2.88,780.14,2026-08-10 23:48:18,processed
SET0017,PAY0017,1999,39.98,7.2,1951.82,2026-08-22 17:06:52,processed
SET0018,PAY0018,1499,29.98,5.4,1463.62,2026-08-12 13:11:27,processed
SET0019,PAY0019,1499,29.98,5.4,1463.62,2026-08-16 16:11:32,processed
SET0020,PAY0020,1499,29.98,5.4,1463.62,2026-08-15 20:24:43,processed
SET0021,PAY0021,1999,39.98,7.2,1951.82,2026-08-16 20:19:12,processed
SET0022,PAY0022,2499,49.98,9.0,2440.02,2026-08-18 03:22:49,processed
SET0023,PAY0023,2499,49.98,9.0,2440.02,2026-08-20 12:25:05,processed
SET0024,PAY0024,1999,39.98,7.2,1951.82,2026-08-13 01:27:53,processed
SET0025,PAY0025,999,19.98,3.6,975.42,2026-08-22 07:21:33,processed
SET0026,PAY0026,4999,99.98,18.0,4881.02,2026-08-15 22:50:23,processed
SET0027,PAY0027,1499,29.98,5.4,1463.62,2026-07-30 07:54:54,processed
SET0028,PAY0028,499,9.98,1.8,487.22,2026-08-23 13:21:13,processed
SET0029,PAY0029,499,9.98,1.8,487.22,2026-08-09 17:07:54,processed
SET0030,PAY0030,1999,39.98,7.2,1951.82,2026-08-07 11:32:48,processed
SET0031,PAY0031,2499,49.98,9.0,2440.02,2026-08-15 13:19:58,processed
SET0032,PAY0032,4999,99.98,18.0,4881.02,2026-08-23 10:54:21,processed
SET0033,PAY0033,4999,99.98,18.0,4881.02,2026-08-15 09:18:05,processed
SET0034,PAY0034,999,19.98,3.6,975.42,2026-08-16 00:15:37,processed
SET0035,PAY0035,1999,39.98,7.2,1951.82,2026-08-20 03:59:13,processed
SET0036,PAY0036,2999,59.98,10.8,2928.22,2026-08-23 17:22:47,processed
SET0037,PAY0037,999,19.98,3.6,975.42,2026-08-05 12:04:08,processed
SET0038,PAY0038,499,9.98,1.8,487.22,2026-08-21 03:27:34,processed
SET0039,PAY0039,999,19.98,3.6,975.42,2026-08-12 21:09:06,processed
SET0040,PAY0040,799,15.98,2.88,780.14,2026-08-15 10:12:49,processed
SET0041,PAY0041,4999,99.98,18.0,4881.02,2026-08-21 10:22:24,processed
SET0042,PAY0042,499,9.98,1.8,487.22,2026-08-10 19:53:28,processed
SET0043,PAY0043,1999,39.98,7.2,1951.82,2026-08-05 15:02:54,processed
SET0044,PAY0044,1999,39.98,7.2,1951.82,2026-08-18 18:42:46,processed
SET0045,PAY0045,4999,99.98,18.0,4881.02,2026-08-08 07:59:11,processed
SET0046,PAY0046,1999,39.98,7.2,1951.82,2026-08-17 17:42:26,processed
SET0047,PAY0047,799,15.98,2.88,780.14,2026-08-14 03:58:42,processed
SET0048,PAY0048,1499,29.98,5.4,1463.62,2026-08-20 08:45:10,processed
SET0049,PAY0049,999,19.98,3.6,975.42,2026-08-17 17:42:13,processed
SET0050,PAY0050,2499,49.98,9.0,2440.02,2026-08-09 23:26:11,processed
SET0051,PAY0051,799,15.98,2.88,780.14,2026-08-19 07:51:02,processed
SET0052,PAY0052,1999,39.98,7.2,1951.82,2026-08-21 11:42:24,processed
SET0053,PAY0053,1499,29.98,5.4,1463.62,2026-08-21 14:36:57,processed
SET0054,PAY0054,4999,99.98,18.0,4881.02,2026-08-17 12:15:45,processed
SET0055,PAY0055,999,19.98,3.6,975.42,2026-08-07 17:35:57,processed
SET0056,PAY0056,4999,99.98,18.0,4881.02,2026-08-21 11:00:10,processed
SET0057,PAY0057,2999,59.98,10.8,2928.22,2026-07-31 10:17:59,processed
SET0058,PAY0058,1499,29.98,5.4,1463.62,2026-08-06 11:18:41,processed
SET0059,PAY0059,2499,49.98,9.0,2440.02,2026-08-20 17:18:01,processed
SET0060,PAY0060,4999,99.98,18.0,4881.02,2026-08-21 11:03:25,processed
SET0061,PAY0061,1499,29.98,5.4,1463.62,2026-08-15 11:47:23,processed
SET0062,PAY0062,499,9.98,1.8,487.22,2026-08-19 11:40:19,processed
SET0063,PAY0063,1499,29.98,5.4,1463.62,2026-08-22 20:55:17,processed
SET0064,PAY0064,499,9.98,1.8,487.22,2026-08-19 08:41:03,processed
SET0065,PAY0065,499,9.98,1.8,487.22,2026-07-30 20:19:36,processed
SET0066,PAY0066,1499,29.98,5.4,1463.62,2026-08-21 09:57:47,processed
SET0067,PAY0067,4999,99.98,18.0,4881.02,2026-08-12 22:48:18,processed
SET0068,PAY0068,999,19.98,3.6,975.42,2026-08-18 12:42:34,processed
SET0069,PAY0069,4999,99.98,18.0,4881.02,2026-08-12 10:04:06,processed
SET0070,PAY0070,799,15.98,2.88,780.14,2026-08-06 16:08:22,processed
SET0071,PAY0071,2899,59.98,10.8,2828.22,2026-08-22 15:40:55,processed
SET0072,PAY0072,2899,59.98,10.8,2828.22,2026-08-14 17:22:43,processed
SET0073,PAY0073,399,9.98,1.8,387.22,2026-08-13 09:10:45,processed
SET0074,PAY0074,2899,59.98,10.8,2828.22,2026-08-22 01:38:45,processed
SET0075,PAY0075,699,15.98,2.88,680.14,2026-08-07 02:16:18,processed
SET0081,PAY0081,1499,29.98,5.4,1463.62,2026-08-18 19:31:52,processed
SET0082,PAY0082,4999,99.98,18.0,4881.02,2026-08-06 18:12:50,processed
SET0083,PAY0083,2999,59.98,10.8,2928.22,2026-08-19 04:37:59,processed
SET0084,PAY0084,2999,59.98,10.8,2928.22,2026-08-01 17:02:25,processed
SET0085,PAY0085,1999,39.98,7.2,1951.82,2026-08-18 03:52:03,processed
SET0086,PAY0086,2999,59.98,10.8,2928.22,2026-08-20 08:27:03,processed
SET0087,PAY0087,1499,29.98,5.4,1463.62,2026-08-15 23:24:27,processed
SET0088,PAY0088,499,9.98,1.8,487.22,2026-08-23 11:22:26,processed
SET0089,PAY0089,2499,49.98,9.0,2440.02,2026-08-08 04:16:54,processed
SET0090,PAY0090,4999,99.98,18.0,4881.02,2026-08-23 00:36:51,processed
SET0091,PAY0091,799,15.98,2.88,780.14,2026-08-16 20:10:13,processed
SET0092,PAY_REF_0092,799,15.98,2.88,780.14,2026-08-21 03:06:30,processed
SET0093,PAY_REF_0093,799,15.98,2.88,780.14,2026-08-18 13:05:37,processed
SET0094,PAY_REF_0094,499,9.98,1.8,487.22,2026-08-17 04:09:38,processed
SET0095,PAY_REF_0095,2499,49.98,9.0,2440.02,2026-08-21 14:15:36,processed
