order_id,customer_id,order_amount,order_date,order_status
ORD0001,CUST0001,799,2026-07-30 03:11:54,completed
ORD0002,CUST0002,1999,2026-08-07 01:55:14,completed
ORD0003,CUST0003,999,2026-08-04 13:32:51,completed
ORD0004,CUST0004,799,2026-07-29 16:54:13,completed
ORD0005,CUST0005,499,2026-08-14 05:03:46,completed
ORD0006,CUST0006,1499,2026-07-26 04:12:16,completed
ORD0007,CUST0007,1499,2026-08-04 08:13:12,completed
ORD0008,CUST0008,4999,2026-08-18 06:16:11,completed
ORD0009,CUST0009,499,2026-07-26 00:24:17,completed
ORD0010,CUST0010,2999,2026-08-03 09:09:03,completed
ORD0011,CUST0011,999,2026-08-20 04:23:28,completed
ORD0012,CUST0012,2499,2026-08-04 10:19:12,completed
ORD0013,CUST0013,2999,2026-08-07 05:36:14,completed
ORD0014,CUST0014,2499,2026-08-01 11:30:17,completed
ORD0015,CUST0015,499,2026-08-14 05:52:11,completed
ORD0016,CUST0016,799,2026-08-07 05:13:54,completed
ORD0017,CUST0017,1999,2026-08-04 04:20:49,completed
ORD0018,CUST0018,1499,2026-08-10 01:38:57,completed
ORD0019,CUST0019,1499,2026-07-29 05:32:42,completed
ORD0020,CUST0020,1499,2026-07-29 10:10:15,completed
ORD0021,CUST0021,1999,2026-08-10 10:13:32,completed
ORD0022,CUST0022,2499,2026-07-26 20:06:42,completed
ORD0023,CUST0023,2499,2026-08-19 18:14:21,completed
ORD0024,CUST0024,1999,2026-08-12 02:30:46,completed
ORD0025,CUST0025,999,2026-08-20 12:39:44,completed
ORD0026,CUST0026,4999,2026-08-11 06:49:25,completed
ORD0027,CUST0027,1499,2026-07-28 02:31:33,completed
ORD0028,CUST0028,499,2026-08-04 19:00:32,completed
ORD0029,CUST0029,499,2026-08-07 18:38:59,completed
ORD0030,CUST0030,1999,2026-08-05 00:42:33,completed
ORD0031,CUST0031,2499,2026-08-12 04:22:02,completed
ORD0032,CUST0032,4999,2026-08-15 17:44:58,completed
ORD0033,CUST0033,4999,2026-08-11 10:32:55,completed
ORD0034,CUST0034,999,2026-08-11 16:46:49,completed
ORD0035,CUST0035,1999,2026-08-03 21:34:54,completed
ORD0036,CUST0036,2999,2026-08-06 16:32:24,completed
ORD0037,CUST0037,999,2026-07-28 04:40:41,completed
ORD0038,CUST0038,499,2026-08-19 15:48:23,completed
ORD0039,CUST0039,999,2026-08-01 15:51:57,completed
ORD0040,CUST0040,799,2026-08-12 03:35:09,completed
ORD0041,CUST0041,4999,2026-08-20 18:22:54,completed
ORD0042,CUST0042,499,2026-08-09 11:18:18,completed
ORD0043,CUST0043,1999,2026-08-04 20:20:55,completed
ORD0044,CUST0044,1999,2026-08-09 01:01:03,completed
ORD0045,CUST0045,4999,2026-08-06 17:25:44,completed
ORD0046,CUST0046,1999,2026-08-03 23:18:04,completed
ORD0047,CUST0047,799,2026-08-09 00:06:52,completed
ORD0048,CUST0048,1499,2026-08-17 23:08:05,completed
ORD0049,CUST0049,999,2026-08-16 00:05:22,completed
ORD0050,CUST0050,2499,2026-08-06 14:05:45,completed
ORD0051,CUST0051,799,2026-08-05 16:49:48,completed
ORD0052,CUST0052,1999,2026-08-19 21:26:32,completed
ORD0053,CUST0053,1499,2026-08-14 12:38:59,completed
ORD0054,CUST0054,4999,2026-08-13 02:49:25,completed
ORD0055,CUST0055,999,2026-08-04 09:00:55,completed
ORD0056,CUST0056,4999,2026-08-18 11:07:46,completed
ORD0057,CUST0057,2999,2026-07-29 03:24:19,completed
ORD0058,CUST0058,1499,2026-07-30 01:14:19,completed
ORD0059,CUST0059,2499,2026-08-01 11:52:51,completed
ORD0060,CUST0060,4999,2026-08-14 05:20:25,completed
ORD0061,CUST0061,1499,2026-07-27 19:30:12,completed
ORD0062,CUST0062,499,2026-08-12 06:06:25,completed
ORD0063,CUST0063,1499,2026-08-16 10:48:21,completed
ORD0064,CUST0064,499,2026-08-05 22:24:25,completed
ORD0065,CUST0065,499,2026-07-25 06:51:52,completed
ORD0066,CUST0066,1499,2026-08-19 19:06:14,completed
ORD0067,CUST0067,4999,2026-08-10 05:49:17,completed
ORD0068,CUST0068,999,2026-08-07 23:26:26,completed
ORD0069,CUST0069,4999,2026-08-01 09:45:19,completed
ORD0070,CUST0070,799,2026-07-24 21:16:09,completed
ORD0071,CUST0071,2999,2026-08-18 00:42:48,completed
ORD0072,CUST0072,2999,2026-08-02 09:37:58,completed
ORD0073,CUST0073,499,2026-07-29 21:27:57,completed
ORD0074,CUST0074,2999,2026-08-18 08:57:30,completed
ORD0075,CUST0075,799,2026-08-03 09:14:11,completed
ORD0076,CUST0076,1499,2026-08-11 21:07:46,completed
ORD0077,CUST0077,2999,2026-08-01 13:42:23,completed
ORD0078,CUST0078,4999,2026-08-19 11:23:42,completed
ORD0079,CUST0079,4999,2026-08-09 11:09:27,completed
ORD0080,CUST0080,499,2026-07-25 16:10:49,completed
ORD0081,CUST0081,1499,2026-08-11 08:23:29,completed
ORD0082,CUST0082,4999,2026-08-05 08:28:13,completed
ORD0083,CUST0083,2999,2026-08-05 10:07:26,completed
ORD0084,CUST0084,2999,2026-07-28 13:14:49,completed
ORD0085,CUST0085,1999,2026-08-17 07:42:29,completed
ORD0086,CUST0086,2999,2026-08-19 14:08:09,completed
ORD0087,CUST0087,1499,2026-07-30 23:04:30,completed
ORD0088,CUST0088,499,2026-08-16 19:13:56,completed
ORD0089,CUST0089,2499,2026-08-01 17:52:30,completed
ORD0090,CUST0090,4999,2026-08-19 08:16:22,completed
ORD0091,CUST0091,799,2026-08-14 06:28:47,completed
ORD0092,CUST0092,799,2026-08-19 21:48:49,completed
ORD0093,CUST0093,799,2026-08-08 20:39:50,completed
ORD0094,CUST0094,499,2026-08-11 20:33:17,completed
ORD0095,CUST0095,2499,2026-08-18 20:30:28,completed
ORD0096,CUST0096,2499,2026-07-30 14:28:06,completed
ORD0097,CUST0097,2999,2026-08-04 15:16:46,completed
ORD0098,CUST0098,1999,2026-08-10 03:23:11,completed
ORD0099,CUST0099,799,2026-08-20 14:51:13,completed
ORD0100,CUST0100,799,2026-08-04 10:03:36,completed
