payment_id,order_id,amount,payment_status,payment_date,payment_method,gateway_reference
PAY0001,ORD0001,799,captured,2026-07-30 03:11:54,UPI,GW-877572
PAY0002,ORD0002,1999,captured,2026-08-07 01:55:14,Credit Card,GW-334053
PAY0003,ORD0003,999,captured,2026-08-04 13:32:51,UPI,GW-809570
PAY0004,ORD0004,799,captured,2026-07-29 16:54:13,Net Banking,GW-133326
PAY0005,ORD0005,499,captured,2026-08-14 05:03:46,UPI,GW-329258
PAY0006,ORD0006,1499,captured,2026-07-26 04:12:16,UPI,GW-688508
PAY0007,ORD0007,1499,captured,2026-08-04 08:13:12,Net Banking,GW-331148
PAY0008,ORD0008,4999,captured,2026-08-18 06:16:11,Debit Card,GW-948749
PAY0009,ORD0009,499,captured,2026-07-26 00:24:17,Credit Card,GW-832052
PAY0010,ORD0010,2999,captured,2026-08-03 09:09:03,Debit Card,GW-391369
PAY0011,ORD0011,999,captured,2026-08-20 04:23:28,Credit Card,GW-900581
PAY0012,ORD0012,2499,captured,2026-08-04 10:19:12,UPI,GW-197251
PAY0013,ORD0013,2999,captured,2026-08-07 05:36:14,UPI,GW-476417
PAY0014,ORD0014,2499,captured,2026-08-01 11:30:17,Debit Card,GW-946335
PAY0015,ORD0015,499,captured,2026-08-14 05:52:11,Net Banking,GW-662275
PAY0016,ORD0016,799,captured,2026-08-07 05:13:54,Net Banking,GW-182627
PAY0017,ORD0017,1999,captured,2026-08-04 04:20:49,Debit Card,GW-705397
PAY0018,ORD0018,1499,captured,2026-08-10 01:38:57,UPI,GW-148050
PAY0019,ORD0019,1499,captured,2026-07-29 05:32:42,Debit Card,GW-183667
PAY0020,ORD0020,1499,captured,2026-07-29 10:10:15,UPI,GW-498591
PAY0021,ORD0021,1999,captured,2026-08-10 10:13:32,Net Banking,GW-766563
PAY0022,ORD0022,2499,captured,2026-07-26 20:06:42,Credit Card,GW-488162
PAY0023,ORD0023,2499,captured,2026-08-19 18:14:21,Credit Card,GW-802729
PAY0024,ORD0024,1999,captured,2026-08-12 02:30:46,UPI,GW-738720
PAY0025,ORD0025,999,captured,2026-08-20 12:39:44,Credit Card,GW-271339
PAY0026,ORD0026,4999,captured,2026-08-11 06:49:25,Net Banking,GW-383060
PAY0027,ORD0027,1499,captured,2026-07-28 02:31:33,Debit Card,GW-983794
PAY0028,ORD0028,499,captured,2026-08-04 19:00:32,Credit Card,GW-961722
PAY0029,ORD0029,499,captured,2026-08-07 18:38:59,Debit Card,GW-520651
PAY0030,ORD0030,1999,captured,2026-08-05 00:42:33,UPI,GW-321231
PAY0031,ORD0031,2499,captured,2026-08-12 04:22:02,Credit Card,GW-787277
PAY0032,ORD0032,4999,captured,2026-08-15 17:44:58,Net Banking,GW-774079
PAY0033,ORD0033,4999,captured,2026-08-11 10:32:55,Credit Card,GW-377746
PAY0034,ORD0034,999,captured,2026-08-11 16:46:49,Credit Card,GW-881177
PAY0035,ORD0035,1999,captured,2026-08-03 21:34:54,Net Banking,GW-711878
PAY0036,ORD0036,2999,captured,2026-08-06 16:32:24,Debit Card,GW-329974
PAY0037,ORD0037,999,captured,2026-07-28 04:40:41,Net Banking,GW-195325
PAY0038,ORD0038,499,captured,2026-08-19 15:48:23,UPI,GW-260265
PAY0039,ORD0039,999,captured,2026-08-01 15:51:57,Net Banking,GW-725380
PAY0040,ORD0040,799,captured,2026-08-12 03:35:09,Net Banking,GW-500156
PAY0041,ORD0041,4999,captured,2026-08-20 18:22:54,Debit Card,GW-680099
PAY0042,ORD0042,499,captured,2026-08-09 11:18:18,UPI,GW-814825
PAY0043,ORD0043,1999,captured,2026-08-04 20:20:55,Debit Card,GW-216970
PAY0044,ORD0044,1999,captured,2026-08-09 01:01:03,Net Banking,GW-265840
PAY0045,ORD0045,4999,captured,2026-08-06 17:25:44,UPI,GW-857168
PAY0046,ORD0046,1999,captured,2026-08-03 23:18:04,Credit Card,GW-632342
PAY0047,ORD0047,799,captured,2026-08-09 00:06:52,Debit Card,GW-982554
PAY0048,ORD0048,1499,captured,2026-08-17 23:08:05,Credit Card,GW-492077
PAY0049,ORD0049,999,captured,2026-08-16 00:05:22,UPI,GW-728038
PAY0050,ORD0050,2499,captured,2026-08-06 14:05:45,Net Banking,GW-120422
PAY0051,ORD0051,799,captured,2026-08-05 16:49:48,Debit Card,GW-972064
PAY0052,ORD0052,1999,captured,2026-08-19 21:26:32,Credit Card,GW-160738
PAY0053,ORD0053,1499,captured,2026-08-14 12:38:59,UPI,GW-189814
PAY0054,ORD0054,4999,captured,2026-08-13 02:49:25,UPI,GW-897549
PAY0055,ORD0055,999,captured,2026-08-04 09:00:55,Credit Card,GW-791798
PAY0056,ORD0056,4999,captured,2026-08-18 11:07:46,Credit Card,GW-377932
PAY0057,ORD0057,2999,captured,2026-07-29 03:24:19,Credit Card,GW-665492
PAY0058,ORD0058,1499,captured,2026-07-30 01:14:19,Debit Card,GW-518373
PAY0059,ORD0059,2499,captured,2026-08-01 11:52:51,Net Banking,GW-642717
PAY0060,ORD0060,4999,captured,2026-08-14 05:20:25,UPI,GW-359947
PAY0061,ORD0061,1499,captured,2026-07-27 19:30:12,UPI,GW-454508
PAY0062,ORD0062,499,captured,2026-08-12 06:06:25,Credit Card,GW-717024
PAY0063,ORD0063,1499,captured,2026-08-16 10:48:21,UPI,GW-174441
PAY0064,ORD0064,499,captured,2026-08-05 22:24:25,Credit Card,GW-170674
PAY0065,ORD0065,499,captured,2026-07-25 06:51:52,Debit Card,GW-174299
PAY0066,ORD0066,1499,captured,2026-08-19 19:06:14,Debit Card,GW-801474
PAY0067,ORD0067,4999,captured,2026-08-10 05:49:17,Credit Card,GW-665427
PAY0068,ORD0068,999,captured,2026-08-07 23:26:26,Net Banking,GW-354801
PAY0069,ORD0069,4999,captured,2026-08-01 09:45:19,Net Banking,GW-299659
PAY0070,ORD0070,799,captured,2026-07-24 21:16:09,UPI,GW-790993
PAY0071,ORD0071,2999,captured,2026-08-18 00:42:48,Debit Card,GW-544154
PAY0072,ORD0072,2999,captured,2026-08-02 09:37:58,Net Banking,GW-864491
PAY0073,ORD0073,499,captured,2026-07-29 21:27:57,UPI,GW-163556
PAY0074,ORD0074,2999,captured,2026-08-18 08:57:30,Debit Card,GW-939482
PAY0075,ORD0075,799,captured,2026-08-03 09:14:11,Credit Card,GW-300896
PAY0076,ORD0076,1499,captured,2026-08-11 21:07:46,Net Banking,GW-246991
PAY0077,ORD0077,2999,captured,2026-08-01 13:42:23,Credit Card,GW-392075
PAY0078,ORD0078,4999,captured,2026-08-19 11:23:42,Credit Card,GW-179046
PAY0079,ORD0079,4999,captured,2026-08-09 11:09:27,UPI,GW-153045
PAY0080,ORD0080,499,captured,2026-07-25 16:10:49,UPI,GW-890170
PAY0081,ORD_MISSING_80,1499,captured,2026-08-11 08:23:29,Credit Card,GW-526156
PAY0082,ORD_MISSING_81,4999,captured,2026-08-05 08:28:13,Net Banking,GW-324130
PAY0083,ORD_MISSING_82,2999,captured,2026-08-05 10:07:26,UPI,GW-272634
