payment_id,order_id,payment_amount,status,exception_type,settlement_id,settlement_amount,match_method,risk_level,recommended_action,resolution_status
PAY0071,ORD0071,2999,EXCEPTION,AMOUNT_MISMATCH,SET0071,2899.0,EXACT_REFERENCE,HIGH,Hold transaction for manual financial review,MANUAL_REVIEW_REQUIRED
PAY0072,ORD0072,2999,EXCEPTION,AMOUNT_MISMATCH,SET0072,2899.0,EXACT_REFERENCE,HIGH,Hold transaction for manual financial review,MANUAL_REVIEW_REQUIRED
PAY0073,ORD0073,499,EXCEPTION,AMOUNT_MISMATCH,SET0073,399.0,EXACT_REFERENCE,HIGH,Hold transaction for manual financial review,MANUAL_REVIEW_REQUIRED
PAY0074,ORD0074,2999,EXCEPTION,AMOUNT_MISMATCH,SET0074,2899.0,EXACT_REFERENCE,HIGH,Hold transaction for manual financial review,MANUAL_REVIEW_REQUIRED
PAY0075,ORD0075,799,EXCEPTION,AMOUNT_MISMATCH,SET0075,699.0,EXACT_REFERENCE,HIGH,Hold transaction for manual financial review,MANUAL_REVIEW_REQUIRED
PAY0076,ORD0076,1499,EXCEPTION,MISSING_SETTLEMENT,,,REFERENCE_RECOVERY_FAILED,HIGH,Investigate settlement pipeline and contact payment provider if required,MANUAL_REVIEW_REQUIRED
PAY0077,ORD0077,2999,EXCEPTION,MISSING_SETTLEMENT,,,REFERENCE_RECOVERY_FAILED,HIGH,Investigate settlement pipeline and contact payment provider if required,MANUAL_REVIEW_REQUIRED
PAY0078,ORD0078,4999,EXCEPTION,MISSING_SETTLEMENT,,,REFERENCE_RECOVERY_FAILED,HIGH,Investigate settlement pipeline and contact payment provider if required,MANUAL_REVIEW_REQUIRED
PAY0079,ORD0079,4999,EXCEPTION,MISSING_SETTLEMENT,,,REFERENCE_RECOVERY_FAILED,HIGH,Investigate settlement pipeline and contact payment provider if required,MANUAL_REVIEW_REQUIRED
PAY0080,ORD0080,499,EXCEPTION,MISSING_SETTLEMENT,,,REFERENCE_RECOVERY_FAILED,HIGH,Investigate settlement pipeline and contact payment provider if required,MANUAL_REVIEW_REQUIRED
PAY0081,ORD_MISSING_80,1499,EXCEPTION,MISSING_ORDER,,,ORDER_VALIDATION,HIGH,Investigate missing order record in source system,MANUAL_REVIEW_REQUIRED
PAY0082,ORD_MISSING_81,4999,EXCEPTION,MISSING_ORDER,,,ORDER_VALIDATION,HIGH,Investigate missing order record in source system,MANUAL_REVIEW_REQUIRED
PAY0083,ORD_MISSING_82,2999,EXCEPTION,MISSING_ORDER,,,ORDER_VALIDATION,HIGH,Investigate missing order record in source system,MANUAL_REVIEW_REQUIRED
PAY0084,ORD0084,2999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,HIGH,Review duplicate transaction pair before any refund or reversal action,MANUAL_REVIEW_REQUIRED
PAY0085,ORD0085,1999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,HIGH,Review duplicate transaction pair before any refund or reversal action,MANUAL_REVIEW_REQUIRED
PAY0086,ORD0086,2999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,HIGH,Review duplicate transaction pair before any refund or reversal action,MANUAL_REVIEW_REQUIRED
DUP_PAY0083,ORD0084,2999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,HIGH,Review duplicate transaction pair before any refund or reversal action,MANUAL_REVIEW_REQUIRED
DUP_PAY0084,ORD0085,1999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,HIGH,Review duplicate transaction pair before any refund or reversal action,MANUAL_REVIEW_REQUIRED
DUP_PAY0085,ORD0086,2999,EXCEPTION,DUPLICATE_PAYMENT,,,DUPLICATE_DETECTION,HIGH,Review duplicate transaction pair before any refund or reversal action,MANUAL_REVIEW_REQUIRED
