payment_id,status,exception_type,risk_level,recommended_action,auto_resolvable
PAY0001,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0002,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0003,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0004,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0005,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0006,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0007,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0008,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0009,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0010,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0011,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0012,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0013,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0014,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0015,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0016,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0017,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0018,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0019,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0020,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0021,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0022,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0023,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0024,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0025,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0026,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0027,MATCHED,,UNKNOWN,Escalate for manual investigation,False
PAY0028,MATCHED,,UNKNOWN,Escalate for manual investigation,False
